method,seed,auc_final,auc_early
RBPF,0,0.6488,0.4991
RBPF,1,0.6545,0.4944
RBPF,2,0.6410,0.5100
RBPF,3,0.6554,0.4969
RBPF,4,0.6445,0.5017
EKF,0,0.5967,0.4742
EKF,1,0.5967,0.4742
EKF,2,0.5967,0.4742
EKF,3,0.5967,0.4742
EKF,4,0.5967,0.4742
PF,0,0.6941,0.4865
PF,1,0.6279,0.4877
PF,2,0.6420,0.4906
PF,3,0.6565,0.4913
PF,4,0.6358,0.5002
LR-k5,0,0.5800,0.5800
LR-k5,1,0.4622,0.4622
LR-k5,2,0.4643,0.4643
LR-k5,3,0.4952,0.4952
LR-k5,4,0.5886,0.5886
